First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
0.0,0.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,59.0,16.0,7.0,1.0
2.5,2.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,72.71,29.51,7.0,1.0
4.25,3.923077,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,92.0,41.0,9.0,1.0
3.020833,2.321429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.27,34.85,8.0,1.0
4.275,4.326923,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,97.0,41.28,9.0,1.0
4.357143,4.326087,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,101.0,45.0,9.0,1.0
2.045455,2.961538,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,79.0,34.0,9.0,1.0
4.285714,3.608696,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,98.0,39.0,9.0,1.0
2.863636,1.3,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,78.0,29.0,7.0,1.0
2.75,2.75,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,80.13,41.0,8.0,1.0
2.125,2.136364,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,73.0,18.0,7.0,1.0
1.46,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,81.0,17.0,9.0,1.0
4.421053,4.315789,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,95.0,38.0,7.0,1.0
3.717391,3.895833,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,93.38,45.67,10.0,1.0
4.233333,4.277778,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,8.0,93.87,41.21,9.0,1.0
3.413043,3.346154,3.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,8.0,75.13,31.27,7.0,1.0
3.375,3.696429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,80.135,39.33,4.0,1.0
3.785714,3.431818,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,82.64,48.0,10.0,1.0
