First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
0,0,1,2,6,2,1,1,2,1,1,59,16,7,1
2.5,2,3,4,6,1,2,2,2,1,3,72.99,30.34,7,1
4.25,3.923077,1,1,6,2,1,1,1,2,3,92,41,9,1
3.020833,2.321429,3,4,6,1,2,2,2,2,3,76.2,34.02,8,1
4.275,4.326923,1,2,6,1,1,1,1,2,3,97,42.69,9,1
4.357143,4.326087,1,2,6,2,1,1,2,2,3,101,45,9,1
2.210526,1.375,1,2,6,2,1,1,2,1,1,68,20,7,0
2.045455,2.961538,1,2,6,2,1,1,2,1,1,79,34,9,1
4.285714,3.608696,1,2,6,2,1,1,1,1,2,98,39,9,1
2.863636,1.3,1,2,6,2,1,1,2,1,1,78,29,7,1
2.75,2.75,3,4,6,1,2,2,2,2,3,81.1,41,8,1
2.125,2.136364,1,2,6,2,1,1,2,1,2,73,18,7,1
1.46,0,1,2,6,2,2,1,2,1,1,81,17,9,1
4.421053,4.315789,1,2,6,2,2,1,2,1,4,95,38,7,1
3.717391,3.895833,3,4,6,1,2,2,2,2,3,93.42,46.01,10,1
4.233333,4.277778,1,2,6,2,2,1,1,2,8,95.38,40.92,9,1
3.413043,3.346154,3,8,6,1,2,1,2,2,8,73.45,30.93,7,1
3.375,3.696429,3,4,6,1,2,2,2,2,3,83,39.42,4,1
3.785714,3.431818,3,4,6,2,2,2,2,1,3,83.57,48,10,1
3.58,3.346154,3,4,6,1,2,2,2,2,3,81.28,36.53,8,1
3.086957,2.65625,1,2,6,2,2,1,2,1,1,80,28,9,0
4.5,4.421053,1,2,6,2,2,1,1,2,3,97.87,32,9,1
3.6,3.190476,3,4,6,1,2,2,1,1,3,79.1,43.49,9,1
3.425,3.175,3,4,6,2,2,2,2,2,3,74.66,43.17,8,1
3.770833,3.5,3,4,6,2,2,2,2,1,2,85.9,48,9,1
2.071429,3.166667,3,2,6,2,1,1,2,2,6,77.09,41,8,1
2.55,3.022727,3,2,6,1,2,1,2,2,8,75.29,30.46,8,1
