First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
0.0,0.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,59.0,16.0,7.0,1.0
2.5,2.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,72.84,30.13,7.0,1.0
4.25,3.923077,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,92.0,41.0,9.0,1.0
3.020833,2.321429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,76.08,35.28,8.0,1.0
4.275,4.326923,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,97.0,39.87,9.0,1.0
4.357143,4.326087,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,101.0,45.0,9.0,1.0
2.210526,1.375,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,68.0,20.0,7.0,0.0
2.045455,2.961538,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,79.0,34.0,9.0,1.0
4.285714,3.608696,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,98.0,39.0,9.0,1.0
2.863636,1.3,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,78.0,29.0,7.0,1.0
2.75,2.75,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,78.74,41.0,8.0,1.0
2.125,2.136364,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,73.0,18.0,7.0,1.0
1.46,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,81.0,17.0,9.0,1.0
4.421053,4.315789,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,95.0,38.0,7.0,1.0
3.717391,3.895833,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,91.82,45.96,10.0,1.0
4.233333,4.277778,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,8.0,93.26,40.42,9.0,1.0
3.413043,3.346154,3.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,8.0,71.43,32.39,7.0,1.0
3.375,3.696429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,82.48,41.26,4.0,1.0
3.785714,3.431818,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,83.35,48.0,10.0,1.0
3.58,3.346154,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,81.32,37.52,8.0,1.0
3.086957,2.65625,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,80.0,28.0,9.0,0.0
4.5,4.421053,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,98.99,32.0,9.0,1.0
3.6,3.190476,3.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0,78.63,44.2,9.0,1.0
3.425,3.175,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,73.11,43.26,8.0,1.0
3.770833,3.5,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,87.2,48.0,9.0,1.0
2.071429,3.166667,3.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,6.0,76.33,41.0,8.0,1.0
2.55,3.022727,3.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,8.0,71.28,31.94,8.0,1.0
3.782609,3.269231,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,87.38,44.0,8.0,1.0
3.979167,4.037037,3.0,4.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,93.07,45.42,7.0,1.0
2.645833,3.020833,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,72.67,39.0,8.0,1.0
4.5,4.5,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,97.0,43.0,9.0,1.0
3.065217,3.210526,3.0,2.0,6.0,2.0,1.0,1.0,1.0,0.0,4.0,77.43,26.0,9.0,1.0
2.125,1.409091,3.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,81.0,31.0,9.0,0.0
1.6,2.566667,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,68.0,21.0,7.0,1.0
4.225,4.428571,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,90.98,46.0,9.0,1.0
3.595238,3.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,84.22,48.0,8.0,1.0
3.82,3.611111,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,85.0,20.0,9.0,1.0
3.928571,4.190476,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,4.0,87.47,40.0,9.0,1.0
2.565217,2.153846,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,83.0,25.0,9.0,1.0
2.52381,1.823529,3.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,60.0,16.0,4.0,1.0
4.309524,4.095238,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,95.0,48.0,9.0,1.0
3.865385,3.844828,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,91.91,47.0,4.0,1.0
2.05,2.555556,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,76.0,23.0,10.0,1.0
3.47619,2.975,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,87.0,32.0,9.0,1.0
3.304348,3.326923,3.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,77.93,34.85,8.0,1.0
1.105263,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,82.0,22.0,7.0,0.0
2.23913,2.361111,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,70.18,32.0,8.0,1.0
3.54,2.521739,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,81.0,34.0,7.0,1.0
3.526316,2.477273,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,78.0,19.0,7.0,1.0
1.78,2.3929179490000005,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,87.0,28.0,9.0,0.0
4.38,4.425,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,74.0,26.0,9.0,1.0
3.027778,2.235294,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,80.39,29.0,9.0,1.0
2.309524,3.043478,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,79.19,40.0,8.0,1.0
2.875,3.068182,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,75.65,36.26,8.0,1.0
3.826087,3.704545,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,6.0,80.0,26.0,9.0,1.0
3.32,1.333333,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,72.35,32.0,9.0,1.0
2.875,2.795455,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,88.0,43.0,9.0,1.0
3.456522,3.52381,3.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,90.0,40.0,8.0,1.0
2.695652,2.630435,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,73.0,29.0,9.0,1.0
3.06,3.304348,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,80.62,45.0,8.0,1.0
3.277778,3.44,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,81.33,35.62,9.0,1.0
0.2,0.0,3.0,2.0,6.0,2.0,1.0,1.0,2.0,0.0,3.0,17.0,23.0,9.0,0.0
2.94,1.727273,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,75.0,19.0,9.0,0.0
0.0,0.15011489,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,4.0,50.0,26.0,9.0,0.0
3.804348,3.714286,3.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,81.71,40.0,4.0,1.0
4.065217,3.72,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,74.0,38.56,9.0,1.0
1.526316,0.157895,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,48.0,21.0,7.0,0.0
1.710526,0.346154,2.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,63.0,10.0,7.0,0.0
